names	scores	logfoldchanges	pvals	pvals_adj
Hnrnpa2b1	7.592052	1.0222415	3.14878675796179e-14	4.197021757078329e-12
Nme1	7.5746536	1.6066978	3.6008729365499374e-14	4.741076177983097e-12
Calm1	7.492384	0.89001614	6.763378110125085e-14	8.692953781662556e-12
Cox7b	7.482069	1.2626878	7.316148129095689e-14	9.347786186483029e-12
Gng5	7.471754	1.0640861	7.913267627993668e-14	9.992467128144284e-12
Atp5o	7.471754	1.1796314	7.913267627993668e-14	9.992467128144284e-12
Rpl31	7.459575	0.6407211	8.680176042456983e-14	1.0834164236114081e-11
Eno1	7.4236603	2.222596	1.1392734581888737e-13	1.3977461240154744e-11
Rplp2	7.422666	0.691389	1.147861080013192e-13	1.4003256667076188e-11
AC121965.1	7.3912244	1.1133103	1.4548283387270815e-13	1.7452282398963263e-11
Pomp	7.3718376	1.2896065	1.6829195695870875e-13	1.985753129294753e-11
Atp5b	7.359286	1.0369362	1.848966824294467e-13	2.1580940884859685e-11
Sem1	7.356055	0.7726382	1.8942536281522436e-13	2.1873058070957962e-11
Cops9	7.3422604	1.2886521	2.100164753530301e-13	2.3994104509513114e-11
Ndufa3	7.308458	1.2461821	2.702261527395928e-13	3.071049113740014e-11
1110038B12Rik	7.243462	1.8030868	4.373736210215786e-13	4.893372330942459e-11
Rps7	7.173868	0.5386335	7.290771997687755e-13	8.114929883818128e-11
Rps13	7.1299996	0.67238003	1.0036931490781883e-12	1.1001393993931634e-10
Prdx2	7.113471	1.2081802	1.1316030195432816e-12	1.221735200049904e-10
Atp5k	7.1085	1.4576455	1.173109119223891e-12	1.2540071886832415e-10
Cdk4	7.0911016	2.130508	1.3304865776585851e-12	1.4152313631222575e-10
Ndufa12	7.069975	1.4783449	1.5496172720849037e-12	1.6402394978494768e-10
Ndufs8	7.057299	1.9959232	1.6977019321913782e-12	1.7882184303321184e-10
Rps9	7.0493455	0.6025004	1.797615175433555e-12	1.8842672079192598e-10
Rpl13a	7.0275974	2.009376	2.1012027858206266e-12	2.181311142030038e-10
Rpl12	7.0201406	0.7771767	2.2164472115224005e-12	2.289939934851827e-10
Ndufc2	7.0077133	1.6664715	2.4224440196854856e-12	2.4908492246223185e-10
Rps28	6.9919305	0.54379576	2.7112914453911527e-12	2.7746405772668794e-10
Tma7	6.9833555	1.4029526	2.8821169161145447e-12	2.935544838191574e-10
Elob	6.979876	0.94871235	2.9544091352791966e-12	2.9810540400973687e-10
Rpl39	6.950423	0.57265574	3.64192921798459e-12	3.6407489631454287e-10
Snrpd2	6.9371257	1.3740395	4.001583751358732e-12	3.981852439773691e-10
Rexo2	6.928302	1.6945766	4.259217696051506e-12	4.21877466563487e-10
Actb	6.9172416	0.51074004	4.605224379035668e-12	4.5406671240418803e-10
Eif3i	6.840067	1.1698607	7.915608563404858e-12	7.734015190479687e-10
Psmb3	6.8271427	1.0992717	8.662260006592435e-12	8.387631404589706e-10
Pfn1	6.822047	0.9919042	8.97520905552335e-12	8.651861122139093e-10
Nedd8	6.8204317	1.3010031	9.076730192953806e-12	8.710837113620068e-10
Rpl35a-ps6	6.814964	1.4734029	9.42875877132601e-12	9.008636643771793e-10
2410006H16Rik	6.763887	1.1691718	1.343380013535932e-11	1.2667076258638155e-09
Rpsa	6.736298	0.63574123	1.6247297698338433e-11	1.5253386921748772e-09
Hspe1	6.7230005	1.2648365	1.780198968664487e-11	1.6640621788039942e-09
Sec61b	6.68286	1.1026434	2.343235635778535e-11	2.1809261673864616e-09
Serf2	6.680996	1.2018389	2.3732404744782486e-11	2.199372599373769e-09
Cox8a	6.643962	0.8585549	3.05361341670046e-11	2.817806602855258e-09
Sec61g	6.6155033	1.0971137	3.702901229092658e-11	3.387997722025329e-09
Npm1	6.591021	0.83877623	4.368118850813438e-11	3.9797801833592645e-09
Hist1h1c	6.5395713	2.6849668	6.169536759165903e-11	5.5049093901103034e-09
Set	6.531742	1.574783	6.500901082509791e-11	5.757807710033155e-09
Mrps14	6.5316176	1.4100364	6.506298713694668e-11	5.757807710033155e-09
Atp5f1	6.5211787	0.96732867	6.975696238811952e-11	6.148008525904754e-09
Rps2	6.5159593	0.52799493	7.222656516834721e-11	6.3397895190248835e-09
Tomm22	6.5111127	1.6432104	7.459620706503605e-11	6.521278943948677e-09
Atp5c1	6.4944596	1.0308657	8.333187587572802e-11	7.255585466873368e-09
Cnn3	6.4843936	1.4264627	8.908938654884007e-11	7.725731420679131e-09
Tagln2	6.480541	1.0340928	9.139427702886183e-11	7.893906495536854e-09
Eif3k	6.4458685	0.9542876	1.1494030321344084e-10	9.848833203523127e-09
Hint1	6.43282	0.9026427	1.2525823375879676e-10	1.0648429297455506e-08
Rpl7	6.4077163	0.50941175	1.4771552054132083e-10	1.2410977568283037e-08
Ndufc1	6.3982716	1.1408086	1.5714583188928768e-10	1.3101351150522736e-08
Cox6a1	6.390069	0.6658377	1.6581065458564576e-10	1.377057486333788e-08
Ndufa7	6.3869624	1.0383767	1.6921324331322569e-10	1.3999316332806445e-08
Mdh1	6.3808727	1.4155228	1.7608136893200026e-10	1.4456749046953162e-08
Hsbp1	6.3788843	1.051276	1.783824539418153e-10	1.4590198211990976e-08
Erh	6.378139	1.6047468	1.7925291379807484e-10	1.460606855713898e-08
Psmb5	6.3555207	1.8588814	2.0772145069385689e-10	1.6862140168543053e-08
Dbi	6.336383	1.0032859	2.352221527996933e-10	1.8881605744995454e-08
Gm8186	6.3219666	1.8159106	2.5825482409771113e-10	2.053483586434166e-08
Swi5	6.321718	1.0860416	2.5867065044694724e-10	2.053483586434166e-08
Psma2	6.31799	1.1025212	2.649870758005774e-10	2.095921585260757e-08
Uqcrc1	6.3114033	1.3425798	2.7651619970237847e-10	2.1791293066326492e-08
Tbca	6.309912	1.1098152	2.7919379954507767e-10	2.1922297140279497e-08
Myl6	6.2876673	0.88961136	3.2227210179467925e-10	2.5122099256507252e-08
Rps27l	6.278968	0.86137486	3.4082802785404644e-10	2.6378134786567827e-08
Cox4i1	6.272133	0.6598153	3.561356956040784e-10	2.7464421697067374e-08
Atox1	6.2423067	0.78441525	4.311639277413038e-10	3.313210922319563e-08
Rps14	6.226897	0.41603598	4.7576410400714e-10	3.6429696091582173e-08
Rpl3	6.226151	0.65727067	4.780327233090737e-10	3.6474065704638964e-08
Rpl4	6.2149663	0.5351788	5.133559851459589e-10	3.8894371183356805e-08
Tceal9	6.2149663	0.9579486	5.133559851459589e-10	3.8894371183356805e-08
Gtf2h5	6.213848	1.4293059	5.170253166761e-10	3.903541140904555e-08
H2afv	6.201669	1.9019989	5.586743409803515e-10	4.203294440692937e-08
Btg2	6.197568	1.4914442	5.734223807635456e-10	4.2992741207733474e-08
Polr2l	6.196698	1.540179	5.765992421036495e-10	4.308134060465088e-08
Rpl34	6.168985	0.3888539	6.872976814431097e-10	5.0824722039044756e-08
Rps15	6.139283	0.49998754	8.289459158021804e-10	6.067603105056435e-08
H2afz	6.11679	1.2169119	9.547925007960014e-10	6.941695107639076e-08
Hmgb2	6.1145525	3.0260122	9.682814943364147e-10	7.003582620162801e-08
Mrpl30	6.114304	1.3305674	9.69791693339822e-10	7.003582620162801e-08
Ndufa4	6.110576	0.8922275	9.927222070580995e-10	7.145283539001847e-08
Csnk2b	6.1099544	1.1257597	9.96595013978808e-10	7.149327620214086e-08
Rps19	6.098521	0.45404002	1.0705411867218628e-09	7.654369485061319e-08
Rpl27	6.070684	0.53703475	1.2736671685664919e-09	9.074855862899392e-08
Bola2	6.0701866	1.6480012	1.277615978475161e-09	9.074855862899392e-08
Aimp1	6.053534	2.5112295	1.4170217862455052e-09	9.99926517333307e-08
BC100530	6.0484385	5.2282414	1.4625624028421083e-09	1.0287006503117148e-07
Cycs	6.032159	1.3290405	1.6178372268270654e-09	1.1305488426820977e-07
Hes1	6.0137663	1.7088665	1.8126196164171528e-09	1.2625772702353413e-07
Oxct1	6.0097895	1.2830456	1.85764539103257e-09	1.2856454143771244e-07
Rps4x	5.9930124	0.44460845	2.0598927174900012e-09	1.4131200086873164e-07
Uqcrb	5.992888	0.8924642	2.061468081028596e-09	1.4131200086873164e-07
Eef1g	5.9905267	0.7249186	2.0916239650751866e-09	1.4292543125907754e-07
Psmb6	5.96679	0.9908018	2.419659346563847e-09	1.637859068036149e-07
Ywhaq	5.964305	1.3543608	2.456776295725794e-09	1.657786579800221e-07
Cux1	5.9544873	3.1560593	2.6088853404156165e-09	1.7549427151275515e-07
Psmc5	5.9537416	1.466949	2.620805523905968e-09	1.757486139059055e-07
Magoh	5.9436755	1.3919283	2.7870135365990208e-09	1.8631573775784102e-07
Mrpl18	5.941066	2.7951407	2.8317532142981193e-09	1.887223677664793e-07
Polr2g	5.94032	2.327666	2.8446639214727732e-09	1.8899947094265105e-07
